No,Name,Book,Book Author,Book Link,Recommend?,Book mini-review,Tweets,
1,George Washington,Washington: A Life,Ron Chernow,https://www.audible.com/pd/Washington-Audiobook/B0044EMDEO?pf_rd_p=6a5ce8e4-798e-4a64-8bc5-71dcf66d673f&pf_rd_r=6QP19ZRQ1TQHSC48CXWQ&ref=a_lib_c4_libItem_B0044EMDEO,Y,"Fantastic. Deeply researched, engaging, readable, well paced.",https://twitter.com/seldo/status/1099464459091816449,https://twitter.com/seldo/status/692410495412736000
2,John Adams,John Adams,David McCullough,https://www.audible.com/pd/John-Adams-Audiobook/B002VACOB0?pf_rd_p=6a5ce8e4-798e-4a64-8bc5-71dcf66d673f&pf_rd_r=V5NFVE9Q7SMME1FGNZMM&ref=a_lib_c4_libItem_B002VACOB0,Y,Does its very best with a dull as dishwater subject. Detailed and well-written but a slog.,https://twitter.com/seldo/status/952765757447856128,https://twitter.com/seldo/status/965645934498430977
3,Thomas Jefferson,Thomas Jefferson: The Art of Power,Jon Meacham,https://www.audible.com/pd/Thomas-Jefferson-The-Art-of-Power-Audiobook/B009R9KT74?pf_rd_p=6a5ce8e4-798e-4a64-8bc5-71dcf66d673f&pf_rd_r=0KS11QE52Q72X8B0F1Z2&ref=a_lib_c4_libItem_B009R9KT74,Y,"Brilliantly written, full of great detail, pulls its punches on some of his darker aspects but doesn't ignore them.",https://twitter.com/seldo/status/1044015388588048384,
4,James Madison,"The Three Lives of James Madison: Genius, Partisan, President",Noah Feldman,https://www.audible.com/pd/The-Three-Lives-of-James-Madison-Audiobook/B0772TP1ZD?pf_rd_p=6a5ce8e4-798e-4a64-8bc5-71dcf66d673f&pf_rd_r=JM1GSGQY307EC4R0P1X9&ref=a_lib_c4_libItem_B0772TP1ZD,Y,"Detailed and engaging, a little longer than its subject deserves.",https://twitter.com/seldo/status/1052928363613093888,
5,James Monroe,The Last Founding Father: James Monroe and a Nation's Call to Greatness,Harlow Giles Unger,https://www.audible.com/pd/The-Last-Founding-Father-Audiobook/B0030E6HQY?pf_rd_p=6a5ce8e4-798e-4a64-8bc5-71dcf66d673f&pf_rd_r=28H5AWV74AE9NPKQEJMS&ref=a_lib_c4_libItem_B0030E6HQY,Y,"Concise, about as long as this shitty dude deserved, but too nice to him.",https://twitter.com/seldo/status/970713783663411201,
6,John Quincy Adams,John Quincy Adams: Militant Spirit,James Traub,https://www.audible.com/pd/John-Quincy-Adams-Audiobook/B01NCAPZKM?pf_rd_p=6a5ce8e4-798e-4a64-8bc5-71dcf66d673f&pf_rd_r=V5NFVE9Q7SMME1FGNZMM&ref=a_lib_c4_libItem_B01NCAPZKM,Y,JQA was even duller than his dad. The bio is workmanlike with much less of the color of other bios.,https://twitter.com/seldo/status/1024754889472102400,
7,Andrew Jackson,Andrew Jackson: His Life and Times,H W Brands,https://www.audible.com/pd/Andrew-Jackson-Audiobook/B002V8KJ0K?pf_rd_p=6a5ce8e4-798e-4a64-8bc5-71dcf66d673f&pf_rd_r=8KEZAD8YDSX2VACY4MJC&ref=a_lib_c4_libItem_B002V8KJ0K,Y,"Military-focused, containing less personal detail than is probably warranted, but very readable.",https://twitter.com/seldo/status/1072182246616948736,
8,Martin Van Buren,Martin Van Buren: A Captivating Guide to the Man Who Served as the Eighth President of the United States ,Captivating History,https://www.audible.com/pd/Martin-Van-Buren-Audiobook/B07DFSZPXN?pf_rd_p=6a5ce8e4-798e-4a64-8bc5-71dcf66d673f&pf_rd_r=AWGWQJZ0BRQSH790NCJB&ref=a_lib_c4_libItem_B07DFSZPXN,N,"Short and cliff notes-y but with some fun details, and very engaging. Best of the cliff-notes bios.",https://twitter.com/seldo/status/1094677333217226752,
9,William Henry Harrison,William Henry Harrison: The Life and Legacy of the First American President to Die in Office,Charles River Editors,https://www.audible.com/pd/William-Henry-Harrison-Audiobook/B0725J9ZP6?pf_rd_p=6a5ce8e4-798e-4a64-8bc5-71dcf66d673f&pf_rd_r=YY95T7RFVVNFK376XMES&ref=a_lib_c4_libItem_B0725J9ZP6,N,"Just under 2 hours long, a cliff-notes bio. Not great.",https://twitter.com/seldo/status/1094677333217226752,
10,John Tyler,John Tyler,Robert J Spitzer,https://www.audible.com/pd/John-Tyler-Audiobook/B01M2YXQ92?pf_rd_p=6a5ce8e4-798e-4a64-8bc5-71dcf66d673f&pf_rd_r=FSWBXZPP56XEP08NNMCH&ref=a_lib_c4_libItem_B01M2YXQ92,N,"28 minutes long, a shitty all-the-presidents entry.",https://twitter.com/seldo/status/970714988703768576,
11,James K Polk,Polk: The Man Who Transformed the Presidency and America,Walter R Borneman,https://www.audible.com/pd/Polk-Audiobook/B002V1OXVS?pf_rd_p=6a5ce8e4-798e-4a64-8bc5-71dcf66d673f&pf_rd_r=D9HDYDBJ4AZGHF6VGPS4&ref=a_lib_c4_libItem_B002V1OXVS,Y,Author wanted to write about Jackson and sort of accidentally wrote about Polk. Not good.,https://twitter.com/seldo/status/979088796896514048,
12,Zachary Taylor,Zachary Taylor,Paul Finkelman,https://www.audible.com/pd/Zachary-Taylor-Audiobook/B01M7RD5ST?pf_rd_p=6a5ce8e4-798e-4a64-8bc5-71dcf66d673f&pf_rd_r=2CKDK3RFSMVAY81984QM&ref=a_lib_c4_libItem_B01M7RD5ST,N,A 24-minute all-the-presidents entry. Taylor sucked but so does this bio.,,
