Tier,Number,President,Pros,Cons,Fun Fact,Grade,Slavery,Genocide,War Crimes,Rape,Corruption
Awesome,1,George Washington,"Won war for independence, invented the presidency, stepped down voluntarily.","Did nothing about slavery, despite being one of the few people who could have done something.","His spring-loaded false teeth were constantly in danger of jumping out of his mouth. He kept his mouth closed to prevent this, making his speeches hard to hear.",A+,y,y,,,
Awesome,32,Franklin D Roosevelt,"Won World War 2, enacted the New Deal, resisted dictatorship worldwide, and resisted being corrupted by his own unprecedented popularity and power.","Interned Japanese-Americans, authorized many civilians deaths in World War 2.","Was the president who defined the Democrats as the party of ethnic minorities and the working class.
",A+,,,y,,
Awesome,16,Abraham Lincoln,"Reunited the country, freed the slaves. Pretty stand-up guy.","Was hella racist, just didn't think slavery was good. Wanted to deport ex-slaves to Africa.","Gets a lot of credit for winning the war, but that was 95% Grant.",A,,y,,,
Great,34,Dwight D Eisenhower,"Genuinely anti-racist, was also against military-industrial complex, a brilliant diplomat, desegrated schools and the military.",Definitely killed a lot of civilians in World War 2.,"Spent the entire war openly having an affair with Kay Summersby and unceremoniously dumped her as soon as it was dumb. ""Patton would have said a warmer goodbye to his horse.""",A,,,,,
Great,4,James Madison,"Almost single-handedly wrote the American constitution, by persuading other people it was their idea.","Slave owner, not a great administrator.","There was nothing fun about Madison.
",B+,y,,,,
Great,18,Ulysses S Grant,"Won the Civil War for Lincoln, gave Lincoln all the credit.","Fucked up Indian ""Peace"" policy. Inherited slaves, but freed them shortly afterwards.
",His name was picked at random from a hat of suggestions by relatives; all of the other names were totally ordinary.,B+,?,y,,,
Great,26,Theodore Roosevelt,"Passed big social programs, pioneered conservation of natural resources, did a lot of trust busting.","Was super racist, and aggressively imperialist.","Famous being for pro-conservation but really loved hunting; his push for national parks was mostly so he would have quiet, unspoiled places to shoot bears and bison. Teddy Bears are named after a bear he (unusually) refrained from shooting one time.",B+,,,,,
Great,28,Woodrow Wilson,"Won World War 1, proposed the League of Nations.","The ultimate ""civility politics"" guy, was racist and anti-semitic.","When he got sick his wife Edith basically executed a palace coup, making major decisions including vetoing a constitutional amendment in his name. It was wild.",B+,,,,,
Above average,39,Jimmy Carter,"Brokered the Camp David accords, the only real progress towards peace in the Middle East in centuries.",Not much.,"Hired a poor translator when visiting Poland, accidentally said he wanted to have sex with the people of Poland.
",B,,,,,
Above average,27,William Howard Taft,"Not a bad president, was a pretty good Supreme Court justice.",Was all up in the Phillipines.,"Everyone thinks of him as being fat but he was mostly a normal weight, becoming fat only in the last few years of his presidency and losing weight again afterwards.",B+,,,,,
Above average,35,John F Kennedy,"Avoided WW3 when it was mostly likely to happen, mostly because Curtis LeMay kept deliberately attempting to start it.","Stole elections, constantly lied about his health.",Was probably addicted to amphetamines for his entire presidency.,B,,,,,y
Above average,6,John Quincy Adams,"Didn't own slaves, fought against slavery.","Like his dad in every way but more so.
",Only president to go back to Congress after being president.,C+,,,,,
Above average,31,Herbert Hoover,"Rescued folks stranded in WW1, ran an enormous food-aid program that saved half of Europe from starvation.",A racist. He tried to stop the depression but failed.,At one point had diplomatic immunity from every party in World War 1 as part of his food relief program.,C+,,,,,y
Above average,40,Ronald Reagan,"Made progress in world peace and disarmament.
","Almost certainly stole the 1980 election from Carter. Did a bunch of illegal shit like Iran Contra, including war crimes.
","Wasn't actually a very good actor; he really believed all that stuff he said about evil empires.
",C+,,,y,y,y
Above average,3,Thomas Jefferson,"Accomplished diplomat and soldier, so-so president.
","Slave owner, serial and persistent rapist.",Died completely broke and left nothing to his children.,C,y,y,,y,
Average,30,Calvin Coolidge,"Cut taxes a lot, increasing economic activity and thus growing actual taxes taken, i.e. that trick the Republicans have been trying ever since. It worked this time and no other time.","Broke a police strike.
","Had a reputation for loving animals so people kept giving him them as gifts, including dogs and cats, canaries, a goose, raccoons, a donkey, a bobcat, lions, a wallaby, a bear and a pygmy hippo named Billy.
",B,,,,,
Average,22,Grover Cleveland,Did his best and was better than some.,"Only president with non-consecutive terms, complicating my presidential-ranking software.","His first name was actually ""Steven"", ""Steven Cleveland"" being the only thing that sounds sillier than ""Grover Cleveland"". The candy bar ""Babe Ruth"" is named after his daughter Ruth, not the baseball player.",C+,,,,y,
Average,23,Benjamin Harrison,Added more states to the union than anybody since Washington.,Not much.,Was the grandson of William Henry Harrison.,C+,,,,,
Average,2,John Adams,"Not a slave owner, when that was unusual.","Prudish, self-important, entitled, inept. Passed the Alien and Sedition Acts which trampled civil liberties.",,C,,,,,
Average,20,James A Garfield,"Nothing.
",Died after 6 months in office.,"The doctor who treated Garfield was Doctor Doctor Willard Bliss; his first name was ""Doctor"" given to him by parents who were trying to influence his later career. He was a very bad doctor, and his incompetent treatment killed Garfield.",C,,,,,
Average,25,William McKinley,Dull.,"Aggressively imperialist, annexed Puerto Rico and Guam, tried to annex Cuba and The Phillipines.","Never wrote anything down about his decision-making process, frustrating historians.",C,,y,,,
Average,29,Warren G Harding,Proposed social programs but didn't get anywhere.,Died in office.,"Even by presidential standards had a lot of sex scandals.
",C,,,,y,y
Average,36,Lyndon B Johnson,Made huge progress in civil rights.,"Got US firmly stuck in Vietnam, permanently eroding trust in the presidency.","Was incredibly fucked up psychologically, was essentially emotionally abusive to everyone who worked for him.",C,,,y,,
Average,38,Gerald Ford,Didn't fuck anything up.,Didn't do much good.,Really just wanted to be leader of the House and didn't know what to do with the presidency once he got it.,C,,,,,
Average,41,George H W Bush,Nothing.,Nothing.,"Enjoyed parachute jumping, completing jumps at age 72, 75, 80, 85 and 90.
","C
",,,,y,
Below average,19,Rutherford B Hayes,Nothing.,Nothing.,"The very definition of the middle of the pack, he did nothing good or bad, he did nothing at all.",C,,,,,
Below average,21,Chester A Arthur,Tried his best but it wasn't very good.,Not much.,Had an amazing correspondence with a woman called Julia Sand who exhorted him to be a better president.,"C
",,,,,
Below average,13,Millard Fillmore,"Said slavery was bad (but did nothing).
","Enacted the compromise of 1850, kicking the Civil War can down the road yet again.",Looks kind of like Alec Baldwin.,C,,y,,,
Below average,5,James Monroe,Invented a bad but long-lived Doctrine.,Slave owner who supported the Missouri compromise that kicked the Civil War can down the road again.,,C-,y,y,,,
Below average,11,James K Polk,Lucked into doubling the size of the US with the Louisiana Purchase.,"A Jacksonian puppet with few ideas, owned slaves.
",Polk was basically Jackson's third term.,C-,y,y,y,,
Below average,8,Martin Van Buren,Opposed slavery (but owned slaves before becoming president).,Murdered a bunch of native americans.,"Popularized the word ""OK"" as an abbreviation of the existing phrase ""Oil Korrect""
",D+,y,y,,,
Below average,10,John Tyler,Defined vice presidential succession through sheer force of will.,Boring and ineffective and sucked.,"When Harrison died, no president had ever died in office before and it wasn't clear if the VP became president or just ""acting President"". Tyler decided you became full president and served the rest of the term, even though this wasn't written down anywhere.",D+,y,,,,
Below average,9,William Henry Harrison,None.,Died after 31 days.,"Despite famously dying early, he got more done than others who lasted much longer.",D,y,,,,
Awful,12,Zachary Taylor,None.,"Owned slaves, compromised on slavery.",Died after 16 months in office by drinking raw milk on the hottest day of the year.,C-,y,y,,,
Awful,14,Franklin Pierce,Fuck all.,"Passed the Kansas-Nebraska act, enforced slave laws, kicked the Civil War can, was a traitor.",In the Civil War he supported the south! What a guy!,D,y,y,,,
Awful,33,Harry S Truman,Nothing.,"A shockingly corrupt politician, he was also a racist and authorized mass civilian murder in Japan long before he dropped the atomic bomb, indisputably a war criminal.","Invented ""catfishing""; pretended to be a woman corresponding with his friends for months as a cruel practical joke.",D,,,y,,y
Awful,15,James Buchanan,"The Civil War wasn't his fault, he was just left holding the hot potato after the last 14 guys enacted increasingly short-lived band-aids.",Leaned on the Supreme Court to get the Dred Scott decision which kicked off the civil war. Broke the country.,3 members of congress died at his inauguration.,F,y,y,,,
The worst,37,Richard Nixon,"Opened relations with China, made huge progress with USSR relations, made enormous progress towards world peace.
","Fucked up the American presidency forever, enthusiastically committed war crimes in Vietnam and Cambodia, was corrupt as all hell and openly criminal.","Like JFK, was probably high for most of his presidency.",D,,,y,y,y
The worst,7,Andrew Jackson,"None, he sucked.","Slavery, multiple genocides, tons of war crimes, killed people in duels, tanked the economy. Just awful.",His grumpy temperament may have been the result of lead poisoning from lead bullet fragments left embedded in his shoulder after a duel.,D-,y,y,y,,
